time, accel 1, accel 2, accel 3, accel 4, accel top, accel bottom 
time - seconds (computed after test), deacceleration - kg, deacceleration - kg, deacceleration - kg, deacceleration - kg, deacceleration - kg, deacceleration - kg
4.400000000000003409e-04,3.914705088347918416e-01,2.500163288495063640e-01,2.332143256553893262e-01,2.356907378644053364e-01,2.216953715591918617e-01,0.000000000000000000e+00
4.420000000000003353e-04,3.902197088348040577e-01,2.547068288495000221e-01,2.294619256554048803e-01,2.466352378644007248e-01,2.066857715592024525e-01,0.000000000000000000e+00
4.440000000000003297e-04,4.289961088347932772e-01,2.765958288494893558e-01,2.726139256553936074e-01,2.663353378643925073e-01,2.467113715591877920e-01,0.000000000000000000e+00
4.460000000000003241e-04,4.465041088348134513e-01,2.765958288494962947e-01,2.801187256554056315e-01,2.750902378644013435e-01,2.367049715592044745e-01,0.000000000000000000e+00
4.480000000000003185e-04,4.890321088347988621e-01,2.781593288494995653e-01,2.970045256553995872e-01,2.838458378643996527e-01,2.667241715591987528e-01,0.000000000000000000e+00
4.500000000000003129e-04,4.965361088348038687e-01,3.125558288495032255e-01,3.138903256554019250e-01,3.101126378644045167e-01,2.967433715592154297e-01,0.000000000000000000e+00
4.520000000000003073e-04,5.015401088348044878e-01,3.219368288495055852e-01,3.288999256554006045e-01,3.276238378644007465e-01,3.292633715592048760e-01,0.000000000000000000e+00
4.540000000000003018e-04,5.403161088347918639e-01,3.625878288494924218e-01,3.326523256553993724e-01,3.276238378644007465e-01,3.467745715591991629e-01,0.000000000000000000e+00
4.560000000000002962e-04,5.415641088348047694e-01,3.766588288495011927e-01,3.270237256554099914e-01,3.385683378644066543e-01,3.542793715592018611e-01,0.000000000000000000e+00
4.580000000000002906e-04,5.740881088348042116e-01,3.813493288495005129e-01,3.664233256554042528e-01,3.626462378644014217e-01,3.617841715592008400e-01,0.000000000000000000e+00
4.600000000000002850e-04,6.403801088347851334e-01,3.907303288494974325e-01,4.208331256553918265e-01,4.042346378643845717e-01,3.842985715591918372e-01,0.000000000000000000e+00
4.620000000000002794e-04,6.478841088348040733e-01,4.079288288495152570e-01,4.208331256554050936e-01,4.195569378644011804e-01,4.118161715592067451e-01,0.000000000000000000e+00
4.640000000000002738e-04,6.854081088347950823e-01,4.501428288494977448e-01,4.302141256554000148e-01,4.261236378643992739e-01,4.368321715591979570e-01,0.000000000000000000e+00
4.660000000000002682e-04,7.329361088348060882e-01,4.673413288495091855e-01,4.395951256554219699e-01,4.480126378644170848e-01,4.543425715592048775e-01,0.000000000000000000e+00
4.680000000000002626e-04,7.479481088348030049e-01,4.923573288495072253e-01,4.808709256554066225e-01,4.808461378644011686e-01,4.643489715591993527e-01,0.000000000000000000e+00
4.700000000000002570e-04,7.729641088347948275e-01,5.408243288494917200e-01,5.202711256553943509e-01,4.939795378643966894e-01,4.918665715591886145e-01,0.000000000000000000e+00
4.720000000000002514e-04,8.267481088348361817e-01,5.564593288495066625e-01,5.671755256553946412e-01,5.180567378644046483e-01,5.368953715592017506e-01,0.000000000000000000e+00
4.740000000000002458e-04,9.055481088347999696e-01,5.799143288495006709e-01,5.559183256554005581e-01,5.421346378644018582e-01,5.368953715592006404e-01,0.000000000000000000e+00
4.760000000000002402e-04,9.580801088347657979e-01,6.033643288494928703e-01,5.971947256553792327e-01,5.990460378643858164e-01,5.669145715591885626e-01,0.000000000000000000e+00
4.780000000000002346e-04,1.085660108834790138e+00,6.283793288495121976e-01,6.384687256554110180e-01,6.143683378644128057e-01,6.144441715592133813e-01,0.000000000000000000e+00
4.800000000000002290e-04,1.036880108834806302e+00,6.893593288494922477e-01,6.891267256553939013e-01,6.822235378643910497e-01,6.669777715591945766e-01,0.000000000000000000e+00
4.820000000000002234e-04,1.121932108834902575e+00,7.112443288495172711e-01,7.078887256554223795e-01,7.369439378644020433e-01,7.070033715592068946e-01,0.000000000000000000e+00
4.840000000000002178e-04,1.319560108834801238e+00,7.472043288495020530e-01,7.510407256554056943e-01,7.544579378644037382e-01,7.395233715592048895e-01,0.000000000000000000e+00
4.860000000000002122e-04,1.225748108834843197e+00,7.909843288494851077e-01,8.279667256553779886e-01,7.938539378643904021e-01,7.845521715591902145e-01,0.000000000000000000e+00
4.880000000000002066e-04,9.530761088347479149e-01,8.832293288495193240e-01,8.729967256554073129e-01,8.288819378644199931e-01,8.145689715592244751e-01,0.000000000000000000e+00
4.900000000000002010e-04,8.305001088347999660e-01,9.535893288494999842e-01,9.048867256553999594e-01,8.879759378643999890e-01,8.821129715591999876e-01,0.000000000000000000e+00
4.920000000000002496e-04,5.215521088349219792e-01,1.019254328849481750e+00,9.911967256553669836e-01,9.427019378643787251e-01,9.221369715591821725e-01,0.000000000000000000e+00
4.940000000000001898e-04,3.514453088348629684e-01,1.056779328849512201e+00,1.058738725655403279e+00,9.974209378644246504e-01,9.896809715592119749e-01,0.000000000000000000e+00
4.960000000000001300e-04,7.091721088347308077e-01,1.127134328849486167e+00,1.096262725655390291e+00,1.144077937864370842e+00,1.054720971559187870e+00,0.000000000000000000e+00
4.980000000000001786e-04,9.330641088347815248e-01,1.242834328849523162e+00,1.205078725655422955e+00,1.200987937864424593e+00,1.164792971559232670e+00,0.000000000000000000e+00
5.000000000000002272e-04,1.040632108834889547e+00,1.228759328849497345e+00,1.251986725655410249e+00,1.299491937864412527e+00,1.257352971559215771e+00,0.000000000000000000e+00
5.020000000000001674e-04,2.108808108834444806e+00,1.242834328849485637e+00,1.343918725655375512e+00,1.356401937864400109e+00,1.364920971559180796e+00,0.000000000000000000e+00
5.040000000000001076e-04,3.185740108834830497e+00,1.205309328849487382e+00,1.330784725655383749e+00,1.373908937864408264e+00,1.394936971559216143e+00,0.000000000000000000e+00
5.060000000000001563e-04,3.128204108834812480e+00,1.119319328849506912e+00,1.255736725655404840e+00,1.356401937864403662e+00,1.417456971559200918e+00,0.000000000000000000e+00
5.080000000000002049e-04,3.091932108835035997e+00,1.000494328849439007e+00,1.085006725655302207e+00,1.303866937864274433e+00,1.214824971559110622e+00,0.000000000000000000e+00
5.100000000000001451e-04,3.510948108834818893e+00,8.644693288494694761e-01,9.836907256553957257e-01,1.025875937864365817e+00,1.122264971559191693e+00,0.000000000000000000e+00
5.120000000000000853e-04,3.593500108834792428e+00,7.659693288495015295e-01,9.198987256554164160e-01,8.945489378644085887e-01,1.017200971559226064e+00,0.000000000000000000e+00
5.140000000000001339e-04,4.166348108835063790e+00,9.676593288495450862e-01,1.049354725655528009e+00,1.078410937864506369e+00,9.146329715592815823e-01,0.000000000000000000e+00
5.160000000000001825e-04,4.813028108834882524e+00,1.039579328849514983e+00,1.266992725655384344e+00,1.312623937864399126e+00,1.187304971559232980e+00,0.000000000000000000e+00
5.180000000000001227e-04,5.608548108834574997e+00,1.281919328849405959e+00,1.193822725655399930e+00,1.352019937864376242e+00,1.469984971559129328e+00,0.000000000000000000e+00
5.200000000000000629e-04,6.340228108835062493e+00,1.894809328849719643e+00,1.912400725655684974e+00,1.986800937864632521e+00,2.022840971559410228e+00,0.000000000000000000e+00
